Property APN,Property Size,Property Price,Property Address,Property City,Propert County,Property Description,GPS Coordinates,Water,Electricity,Sewer/Septic,Sub-Divide-YES/NO,Zoning,Building Restrict-YES/NO,Mobile homes?,Notes - how much to bring utilities in and any other important info about the property,"City or County Contact information for zoning, utilities and permits",Date First Available,Date to Re-evaluate price,Link to Property Pictures
R14-123-21-1290-0000-0910,"21,497 SqFt.",,"34945 Reynolds St, Dade City, Fl 33523",Dade,Hernando,"Vacant Lot Listing

Parcel ID:R14-123-21-1290-0000-0910 |  21,497 SqFt.

This lot is close to multiple highways making an easy commute! Located in the backwoods off the tail end of Hernando County, this property has the privacy every owner would desire. Well and Septic Tank will be needed.. Electrical is available nearby. The surrounding area is growing fast.","28.482119,-82.171027",No,No,No,No,Planned Development Project Mobile Home,,(352) 754‑4048,,,,,"
https://drive.google.com/drive/folders/1IZwt87FghZJuQWo04N9xCgchjjSrP2e8?usp=drive_link "
 26-26-30-0613-0001-2570,"1,611 SqFt",,"1911 Portofino Vista Blvd, Saint Cloud, Fl 34772",Saint Cloud,Osceola,"Prime Residential Building Opportunity in St. Cloud, FL
1911 Portofino Vista Blvd, St. Cloud, FL 34772

This 1,611 square foot lot presents an exceptional opportunity to build your dream home in one of Central Florida's most desirable communities. Zoned for single family residential use, this property offers the perfect foundation for your custom home design in a neighborhood known for its convenient location and quality living.

Your perfect Florida lifestyle begins with the right location - make this property yours today!","28.193375,-81.292044",No,No,No,No,Single Family Residential,,407) 957‑7255,,,,,"
https://drive.google.com/drive/folders/1DosQ6v7tQM6z3uTC753ME3aOl08mlPAo?usp=drive_link "
1130-21-6531,"19,415 SqFt.",,"Nee Ct, North Port, Fl 34288",,Sarasota,"Vacant Lot Listing

Build your dream home on this 0.446-acre lot along peaceful Nee Court in North Port, FL, one of Southwest Florida’s fastest-growing areas.
Zoned for a custom single-family residence, it offers both investment potential and quiet charm.
City water and electricity are close by, with newly repaved roads and expanding utility lines making construction simple and cost-effective.
Just minutes from Warm Mineral Springs and the Myakka River, and a short drive to Venice beaches and downtown North Port, this property blends natural beauty with easy access to shopping, schools, and I-75.","27.047856,-82.072828",No,No,No,No,Agric/Comm/Residential,,(941) 429‑7156,,,,,https://drive.google.com/drive/folders/1Otn_6udHl855NW9AuJvQIzHchVpn2REQ?usp=drive_link 
29-31-24-994160-042008,"21,802 SqFt.",,"2 Valencia Dr, Indian Lake Estates, Fl 33855",Lake Estate,Polk,"PRIME RESIDENTIAL BUILDING LOT
2 Valencia Dr, Indian Lake Estates, FL
APN: 3138-034-029 | 21,802 SqFt (0.5 Acre)

Build your dream home on this generous half-acre lot in peaceful Indian Lake Estates. This cleared parcel offers plenty of space for a custom single-family home with room for a pool, outdoor living areas, and lush landscaping.

Located in a quiet neighborhood just minutes from Lake Wales and premium fishing/boating at Indian Lake. Perfect for those seeking space and privacy in Central Florida's scenic lake country.","27.774499,-81.382155",No,No,No,No,Residentoial,,(863) 534‑6084,,800‑780‑5346,,,https://drive.google.com/drive/folders/12TAnbzMCIc5morCjJgQuPe50ogcVqPTC?usp=drive_link 
" 24-15-27-0100-051-01200,","7,500 SqFt.",,"Possum Rd, Astor, Fl 32102",Astor,Lake ,"Vacant Lot Listing

Residential Land Offering in Lake County

Parcel ID: 24-15-27-0100-051-01200

Imagine waking up to birds singing and sunlight dancing through ancient oaks on your very own 7,500 sq. ft. paradise in picturesque Astor. This enchanting residential lot on Possum Road offers more than just land - it's the perfect canvas for your dream home where the St. Johns River whispers nearby and nature embraces you daily with easy access to utilities within neighborhood.

Nestled in one of Florida's most peaceful river communities, this property invites you to build the cozy cottage or charming family home you've always imagined. ","29.17357,-81.537515",No,No,No,No,Mixed/Multi Residential (R-7),,,,,,,https://drive.google.com/drive/folders/1UkNmqiCZx9ueGilHgd0lxRRG_Ohv1ooY?usp=drive_link 
1149-21-4405,0.29 acres,"$15,000","Hark Pl, North Port, Fl 34288",North Port,Sarasota,"Discover the perfect canvas for your future home in the heart of North Port. Located on the peaceful and desirable Hark Place, this 13,664 sq ft (0.312-acre) lot offers ample space to build a custom single-family residence in one of Florida’s most rapidly growing communities.

Nestled in a quiet, residential neighborhood, this property combines privacy with convenience. Enjoy easy access to I-75, shopping centers, schools, and parks, all while being just a short drive from the pristine Gulf Coast beaches. The lot’s generous dimensions provide flexibility for home design, outdoor living, and potential future expansion.
","27.042906,-82.080841",No,No,NNo,No,Residential Single Family 2,,,,,,,https://drive.google.com/drive/folders/17gyWzzuMJ5DMZ9BfZzqvPG0p0u9e1nkF?usp=drive_link 
27-27-28-768500-000010,0.38 Acres,"$95,000.00","Melbourne Ave E, Haines City, Fl 33844",Haines,Polk,"This strategically positioned 16,453 square foot (0.378 acre) parcel presents an exceptional opportunity for light industrial warehousing development in the thriving Haines City market. Zoned for industrial use, the level lot offers immediate potential for contractors, investors, or business owners seeking a well-located property with excellent transportation access.

Situated on Melbourne Avenue East, the property benefits from convenient proximity to major highways including US-27 and I-4, providing efficient connectivity to Central Florida's robust distribution networks. The generous lot dimensions allow for flexible development options to accommodate various light industrial needs.","28.110071,-81.621709",No,No,No,No,Industrial Light Warehousing,,,,,,,https://drive.google.com/drive/folders/1U5c5f0dD6z3eGrznA0eM4wR_Fogg_7OA?usp=drive_link
 51-42-04-00-0200,"228,877 SqFt.","$6,000,000.00","N 24th Ave, Hollywood, FL 33020",Hollywood,Broward,"Vacant Lot Listing

Single Family Residential Lot in Broward County

Parcel ID: 51-42-04-00-0200 | 228,877 SqFt.

Rare opportunity to own a 5.25-acre single-family residential lot in the heart of Hollywood, Broward County. Zoned for single-family use, the property offers exceptional potential to subdivide and build custom luxury homes surrounded by lush tropical landscaping. City water, sewer, and electricity are available nearby, ensuring a smooth and cost-effective development process. Ideally located just minutes from Hollywood Beach Broadwalk and the vibrant dining and arts scene of downtown Hollywood. Easy access to I-95 and US-1 provides quick connections to Miami and Fort Lauderdale. Perfect for developers or investors seeking a prestigious residential enclave in one of South Florida’s most desirable coastal markets.","26.041165,-80.156702",No,No,No,,Single Family Residential ((954) 921-3471),,,,water-9548313250,,,"https://drive.google.com/drive/folders/14EV_DlRvWiOXol7iskgAE9xaOxkR5xPx?usp=drive_link 
"
19-1n-27-0000-00801-0000," 40,075 SqFt.","$85,000.00","0 Hickory Hammock Rd Milton, FL 32583",,Santa Rosa,"Vacant Lot Listing

Parcel ID: 19-1n-27-0000-00801-0000| Size: 40,075 SqFt.

This lot offers the perfect blend of rural charm and convenient access to nearby amenities. Zoned Agriculture/Residential/Mobile Home
Electricity is available at the street, with well and septic options giving you flexibility to create your ideal homestead.
Just minutes from Milton and Pace, and with easy access to Interstate 10, you’re close to shopping, schools, and healthcare while enjoying peaceful country surroundings.
Nearby Blackwater River State Park and historic downtown Milton offer outdoor recreation and timeless small-town appeal.","30.586331,-86.992155",No,No-352) 596‑4000,No,,Agriculture/Residential/Mobile Home,,,,,,,https://drive.google.com/drive/folders/1R0C-A2OaO2zxL1kJ3CBJlKxH4PBm8iXY?usp=drive_link 
013821-0000,"30,810 SqFt.",,"310 1st Ave NE Lutz,",,Hillsborough,"Vacant Lot Listing

Parcel ID: 013821-0000 | 30,810 SqFt.

This 30,810 sq. ft. lot is tucked away in the peaceful and growing community of Lutz, Florida, presenting a rare chance to build your dream home or secure a smart investment in a high-demand area. It’s just minutes from Lake Park, Buchanan Middle School, and the shopping and dining options at The Shops at Wiregrass and Tampa Premium Outlets. The property is surrounded by top-rated Hillsborough County schools and welcoming, family-friendly neighborhoods. RSC-6 residential zoning allows for single-family construction, giving you flexibility for a custom home or long-term investment. With nearby access to electricity, water, and septic options, development is both straightforward and cost-effective.","28.152422,-82.458037",No,,,,Residential Single Family Conventional,,,,,,,https://drive.google.com/drive/folders/1yiSXcMgK2hcN7INieXP88s7yXNz_GcCk?usp=drive_link 
